home,away,home_goals,away_goals,date,league
union berlin,werder bremen,1,0,2023-05-27,Bundesliga
wolfsburg,hertha,1,2,2023-05-27,Bundesliga
le havre,psg,1,4,2024-08-16,Ligue 1
brest,marseille,1,5,2024-08-17,Ligue 1
reims,lille,0,2,2024-08-17,Ligue 1
monaco,st etienne,1,0,2024-08-17,Ligue 1
auxerre,nice,2,1,2024-08-18,Ligue 1
angers,lens,0,1,2024-08-18,Ligue 1
montpellier,strasbourg,1,1,2024-08-18,Ligue 1
toulouse,nantes,0,0,2024-08-18,Ligue 1
rennes,lyon,3,0,2024-08-18,Ligue 1
psg,montpellier,6,0,2024-08-23,Ligue 1
lyon,monaco,0,2,2024-08-24,Ligue 1
lille,angers,2,0,2024-08-24,Ligue 1
st etienne,le havre,0,2,2024-08-24,Ligue 1
lens,brest,2,0,2024-08-25,Ligue 1
nantes,auxerre,2,0,2024-08-25,Ligue 1
nice,toulouse,1,1,2024-08-25,Ligue 1
strasbourg,rennes,3,1,2024-08-25,Ligue 1
marseille,reims,2,2,2024-08-25,Ligue 1
lyon,strasbourg,4,3,2024-08-30,Ligue 1
brest,st etienne,4,0,2024-08-31,Ligue 1
montpellier,nantes,1,3,2024-08-31,Ligue 1
toulouse,marseille,1,3,2024-08-31,Ligue 1
monaco,lens,1,1,2024-09-01,Ligue 1
angers,nice,1,4,2024-09-01,Ligue 1
le havre,auxerre,3,1,2024-09-01,Ligue 1
reims,rennes,2,1,2024-09-01,Ligue 1
lille,psg,1,3,2024-09-01,Ligue 1
st etienne,lille,1,0,2024-09-13,Ligue 1
marseille,nice,2,0,2024-09-14,Ligue 1
auxerre,monaco,0,3,2024-09-14,Ligue 1
psg,brest,3,1,2024-09-14,Ligue 1
rennes,montpellier,3,0,2024-09-15,Ligue 1
nantes,reims,1,2,2024-09-15,Ligue 1
strasbourg,angers,1,1,2024-09-15,Ligue 1
toulouse,le havre,2,0,2024-09-15,Ligue 1
lens,lyon,0,0,2024-09-15,Ligue 1
nice,st etienne,8,0,2024-09-20,Ligue 1
lille,strasbourg,3,3,2024-09-21,Ligue 1
rennes,lens,1,1,2024-09-21,Ligue 1
reims,psg,1,1,2024-09-21,Ligue 1
monaco,le havre,3,1,2024-09-22,Ligue 1
angers,nantes,1,1,2024-09-22,Ligue 1
brest,toulouse,2,0,2024-09-22,Ligue 1
montpellier,auxerre,3,2,2024-09-22,Ligue 1
lyon,marseille,2,3,2024-09-22,Ligue 1
auxerre,brest,3,0,2024-09-27,Ligue 1
psg,rennes,3,1,2024-09-27,Ligue 1
lens,nice,0,0,2024-09-28,Ligue 1
le havre,lille,0,3,2024-09-28,Ligue 1
monaco,montpellier,2,1,2024-09-28,Ligue 1
toulouse,lyon,1,2,2024-09-29,Ligue 1
angers,reims,1,3,2024-09-29,Ligue 1
nantes,st etienne,2,2,2024-09-29,Ligue 1
strasbourg,marseille,1,0,2024-09-29,Ligue 1
marseille,angers,1,1,2024-10-04,Ligue 1
st etienne,auxerre,3,1,2024-10-05,Ligue 1
lille,toulouse,2,1,2024-10-05,Ligue 1
rennes,monaco,1,2,2024-10-05,Ligue 1
lyon,nantes,2,0,2024-10-06,Ligue 1
brest,le havre,2,0,2024-10-06,Ligue 1
reims,montpellier,4,2,2024-10-06,Ligue 1
strasbourg,lens,2,2,2024-10-06,Ligue 1
nice,psg,1,1,2024-10-06,Ligue 1
monaco,lille,0,0,2024-10-18,Ligue 1
brest,rennes,1,1,2024-10-19,Ligue 1
st etienne,lens,0,2,2024-10-19,Ligue 1
psg,strasbourg,4,2,2024-10-19,Ligue 1
le havre,lyon,0,4,2024-10-20,Ligue 1
auxerre,reims,2,1,2024-10-20,Ligue 1
nantes,nice,1,1,2024-10-20,Ligue 1
toulouse,angers,1,1,2024-10-20,Ligue 1
montpellier,marseille,0,5,2024-10-20,Ligue 1
rennes,le havre,1,0,2024-10-25,Ligue 1
angers,st etienne,4,2,2024-10-26,Ligue 1
reims,brest,1,2,2024-10-26,Ligue 1
lens,lille,0,2,2024-10-26,Ligue 1
lyon,auxerre,2,2,2024-10-27,Ligue 1
montpellier,toulouse,0,3,2024-10-27,Ligue 1
nice,monaco,2,1,2024-10-27,Ligue 1
strasbourg,nantes,3,1,2024-10-27,Ligue 1
marseille,psg,0,3,2024-10-27,Ligue 1
monaco,angers,0,1,2024-11-01,Ligue 1
lille,lyon,1,1,2024-11-01,Ligue 1
psg,lens,1,0,2024-11-02,Ligue 1
brest,nice,0,1,2024-11-02,Ligue 1
st etienne,strasbourg,2,0,2024-11-02,Ligue 1
toulouse,reims,1,0,2024-11-03,Ligue 1
auxerre,rennes,4,0,2024-11-03,Ligue 1
le havre,montpellier,1,0,2024-11-03,Ligue 1
nantes,marseille,1,2,2024-11-03,Ligue 1
marseille,auxerre,1,3,2024-11-08,Ligue 1
strasbourg,monaco,1,3,2024-11-09,Ligue 1
lens,nantes,3,2,2024-11-09,Ligue 1
angers,psg,2,4,2024-11-09,Ligue 1
nice,lille,2,2,2024-11-10,Ligue 1
le havre,reims,0,3,2024-11-10,Ligue 1
montpellier,brest,3,1,2024-11-10,Ligue 1
rennes,toulouse,0,2,2024-11-10,Ligue 1
lyon,st etienne,1,0,2024-11-10,Ligue 1
monaco,brest,3,2,2024-11-22,Ligue 1
psg,toulouse,3,0,2024-11-22,Ligue 1
lens,marseille,1,3,2024-11-23,Ligue 1
st etienne,montpellier,1,0,2024-11-23,Ligue 1
reims,lyon,1,1,2024-11-23,Ligue 1
lille,rennes,1,0,2024-11-24,Ligue 1
auxerre,angers,1,0,2024-11-24,Ligue 1
nantes,le havre,0,2,2024-11-24,Ligue 1
nice,strasbourg,2,1,2024-11-24,Ligue 1
reims,lens,0,2,2024-11-29,Ligue 1
rennes,st etienne,5,0,2024-11-30,Ligue 1
brest,strasbourg,3,1,2024-11-30,Ligue 1
psg,nantes,1,1,2024-11-30,Ligue 1
montpellier,lille,2,2,2024-12-01,Ligue 1
le havre,angers,0,1,2024-12-01,Ligue 1
lyon,nice,4,1,2024-12-01,Ligue 1
toulouse,auxerre,2,0,2024-12-01,Ligue 1
marseille,monaco,2,1,2024-12-01,Ligue 1
lille,brest,3,1,2024-12-06,Ligue 1
auxerre,psg,0,0,2024-12-06,Ligue 1
monaco,toulouse,2,0,2024-12-07,Ligue 1
nice,le havre,2,1,2024-12-07,Ligue 1
angers,lyon,0,3,2024-12-07,Ligue 1
lens,montpellier,2,0,2024-12-08,Ligue 1
nantes,rennes,1,0,2024-12-08,Ligue 1
strasbourg,reims,0,0,2024-12-08,Ligue 1
st etienne,marseille,0,2,2024-12-08,Ligue 1
toulouse,st etienne,2,1,2024-12-13,Ligue 1
marseille,lille,1,1,2024-12-14,Ligue 1
auxerre,lens,2,2,2024-12-14,Ligue 1
reims,monaco,0,0,2024-12-14,Ligue 1
montpellier,nice,2,2,2024-12-15,Ligue 1
brest,nantes,4,1,2024-12-15,Ligue 1
le havre,strasbourg,0,3,2024-12-15,Ligue 1
rennes,angers,2,0,2024-12-15,Ligue 1
psg,lyon,3,1,2024-12-15,Ligue 1
monaco,psg,2,4,2024-12-18,Ligue 1
nice,rennes,3,2,2025-01-03,Ligue 1
st etienne,reims,3,1,2025-01-04,Ligue 1
lille,nantes,1,1,2025-01-04,Ligue 1
lyon,montpellier,1,0,2025-01-04,Ligue 1
angers,brest,2,0,2025-01-05,Ligue 1
lens,toulouse,0,1,2025-01-05,Ligue 1
strasbourg,auxerre,3,1,2025-01-05,Ligue 1
marseille,le havre,5,1,2025-01-05,Ligue 1
nantes,monaco,2,2,2025-01-10,Ligue 1
auxerre,lille,0,0,2025-01-10,Ligue 1
brest,lyon,2,1,2025-01-11,Ligue 1
reims,nice,2,4,2025-01-11,Ligue 1
rennes,marseille,1,2,2025-01-11,Ligue 1
le havre,lens,1,2,2025-01-12,Ligue 1
montpellier,angers,1,3,2025-01-12,Ligue 1
toulouse,strasbourg,1,2,2025-01-12,Ligue 1
psg,st etienne,2,1,2025-01-12,Ligue 1
montpellier,monaco,2,1,2025-01-17,Ligue 1
lille,nice,2,1,2025-01-17,Ligue 1
lens,psg,1,2,2025-01-18,Ligue 1
rennes,brest,1,2,2025-01-18,Ligue 1
lyon,toulouse,0,0,2025-01-18,Ligue 1
st etienne,nantes,1,1,2025-01-19,Ligue 1
angers,auxerre,2,0,2025-01-19,Ligue 1
reims,le havre,1,1,2025-01-19,Ligue 1
marseille,strasbourg,1,1,2025-01-19,Ligue 1
auxerre,st etienne,1,1,2025-01-24,Ligue 1
monaco,rennes,3,2,2025-01-25,Ligue 1
strasbourg,lille,2,1,2025-01-25,Ligue 1
psg,reims,1,1,2025-01-25,Ligue 1
le havre,brest,0,1,2025-01-26,Ligue 1
lens,angers,1,0,2025-01-26,Ligue 1
nantes,lyon,1,1,2025-01-26,Ligue 1
toulouse,montpellier,1,2,2025-01-26,Ligue 1
nice,marseille,2,0,2025-01-26,Ligue 1
montpellier,lens,0,2,2025-01-31,Ligue 1
brest,psg,2,5,2025-02-01,Ligue 1
monaco,auxerre,4,2,2025-02-01,Ligue 1
lille,st etienne,4,1,2025-02-01,Ligue 1
toulouse,nice,1,1,2025-02-02,Ligue 1
angers,le havre,1,1,2025-02-02,Ligue 1
reims,nantes,1,2,2025-02-02,Ligue 1
rennes,strasbourg,1,0,2025-02-02,Ligue 1
marseille,lyon,3,2,2025-02-02,Ligue 1
nantes,brest,0,2,2025-02-07,Ligue 1
psg,monaco,4,1,2025-02-07,Ligue 1
nice,lens,2,0,2025-02-08,Ligue 1
lille,le havre,1,2,2025-02-08,Ligue 1
st etienne,rennes,0,2,2025-02-08,Ligue 1
lyon,reims,4,0,2025-02-09,Ligue 1
auxerre,toulouse,2,2,2025-02-09,Ligue 1
strasbourg,montpellier,2,0,2025-02-09,Ligue 1
angers,marseille,0,2,2025-02-09,Ligue 1
brest,auxerre,2,2,2025-02-14,Ligue 1
marseille,st etienne,5,1,2025-02-15,Ligue 1
monaco,nantes,7,1,2025-02-15,Ligue 1
toulouse,psg,0,1,2025-02-15,Ligue 1
montpellier,lyon,1,4,2025-02-16,Ligue 1
le havre,nice,1,3,2025-02-16,Ligue 1
lens,strasbourg,0,2,2025-02-16,Ligue 1
reims,angers,0,1,2025-02-16,Ligue 1
rennes,lille,0,2,2025-02-16,Ligue 1
rennes,reims,1,0,2025-02-21,Ligue 1
lille,monaco,2,1,2025-02-22,Ligue 1
st etienne,angers,3,3,2025-02-22,Ligue 1
auxerre,marseille,3,0,2025-02-22,Ligue 1
nantes,lens,3,1,2025-02-23,Ligue 1
le havre,toulouse,1,4,2025-02-23,Ligue 1
nice,montpellier,2,0,2025-02-23,Ligue 1
strasbourg,brest,0,0,2025-02-23,Ligue 1
lyon,psg,2,3,2025-02-23,Ligue 1
monaco,reims,3,0,2025-02-28,Ligue 1
st etienne,nice,1,3,2025-03-01,Ligue 1
lens,le havre,3,4,2025-03-01,Ligue 1
psg,lille,4,1,2025-03-01,Ligue 1
lyon,brest,2,1,2025-03-02,Ligue 1
angers,toulouse,0,4,2025-03-02,Ligue 1
auxerre,strasbourg,0,1,2025-03-02,Ligue 1
montpellier,rennes,0,4,2025-03-02,Ligue 1
marseille,nantes,2,0,2025-03-02,Ligue 1
toulouse,monaco,1,1,2025-03-07,Ligue 1
rennes,psg,1,4,2025-03-08,Ligue 1
lille,montpellier,1,0,2025-03-08,Ligue 1
marseille,lens,0,1,2025-03-08,Ligue 1
brest,angers,2,0,2025-03-09,Ligue 1
le havre,st etienne,1,1,2025-03-09,Ligue 1
nantes,strasbourg,0,1,2025-03-09,Ligue 1
reims,auxerre,0,2,2025-03-09,Ligue 1
nice,lyon,0,2,2025-03-09,Ligue 1
nice,auxerre,1,1,2025-03-14,Ligue 1
nantes,lille,1,0,2025-03-15,Ligue 1
angers,monaco,0,2,2025-03-15,Ligue 1
lens,rennes,1,0,2025-03-15,Ligue 1
lyon,le havre,4,2,2025-03-16,Ligue 1
brest,reims,0,0,2025-03-16,Ligue 1
montpellier,st etienne,0,2,2025-03-16,Ligue 1
strasbourg,toulouse,2,1,2025-03-16,Ligue 1
psg,marseille,3,1,2025-03-16,Ligue 1
strasbourg,lyon,4,2,2025-03-28,Ligue 1
reims,marseille,3,1,2025-03-29,Ligue 1
st etienne,psg,1,6,2025-03-29,Ligue 1
monaco,nice,2,1,2025-03-29,Ligue 1
toulouse,brest,2,4,2025-03-30,Ligue 1
angers,rennes,0,3,2025-03-30,Ligue 1
auxerre,montpellier,1,0,2025-03-30,Ligue 1
le havre,nantes,3,2,2025-03-30,Ligue 1
lille,lens,1,0,2025-03-30,Ligue 1
nice,nantes,1,2,2025-04-04,Ligue 1
psg,angers,1,0,2025-04-05,Ligue 1
brest,monaco,2,1,2025-04-05,Ligue 1
lyon,lille,2,1,2025-04-05,Ligue 1
lens,st etienne,1,0,2025-04-06,Ligue 1
montpellier,le havre,0,2,2025-04-06,Ligue 1
reims,strasbourg,0,1,2025-04-06,Ligue 1
rennes,auxerre,0,1,2025-04-06,Ligue 1
marseille,toulouse,3,2,2025-04-06,Ligue 1
lens,reims,0,2,2025-04-11,Ligue 1
monaco,marseille,3,0,2025-04-12,Ligue 1
toulouse,lille,1,2,2025-04-12,Ligue 1
strasbourg,nice,2,2,2025-04-12,Ligue 1
st etienne,brest,3,3,2025-04-13,Ligue 1
angers,montpellier,2,0,2025-04-13,Ligue 1
le havre,rennes,1,5,2025-04-13,Ligue 1
auxerre,lyon,1,3,2025-04-13,Ligue 1
rennes,nantes,2,1,2025-04-18,Ligue 1
psg,le havre,2,1,2025-04-19,Ligue 1
monaco,strasbourg,0,0,2025-04-19,Ligue 1
marseille,montpellier,5,1,2025-04-19,Ligue 1
lille,auxerre,3,1,2025-04-20,Ligue 1
brest,lens,1,3,2025-04-20,Ligue 1
nice,angers,2,1,2025-04-20,Ligue 1
reims,toulouse,1,0,2025-04-20,Ligue 1
st etienne,lyon,2,1,2025-04-20,Ligue 1
nantes,psg,1,1,2025-04-22,Ligue 1
psg,nice,1,3,2025-04-25,Ligue 1
strasbourg,st etienne,3,1,2025-04-26,Ligue 1
le havre,monaco,1,1,2025-04-26,Ligue 1
lyon,rennes,4,1,2025-04-26,Ligue 1
angers,lille,0,2,2025-04-27,Ligue 1
lens,auxerre,0,4,2025-04-27,Ligue 1
montpellier,reims,0,0,2025-04-27,Ligue 1
nantes,toulouse,0,0,2025-04-27,Ligue 1
marseille,brest,4,1,2025-04-27,Ligue 1
nice,reims,1,0,2025-05-02,Ligue 1
strasbourg,psg,2,1,2025-05-03,Ligue 1
toulouse,rennes,2,1,2025-05-03,Ligue 1
st etienne,monaco,1,3,2025-05-03,Ligue 1
nantes,angers,0,1,2025-05-04,Ligue 1
auxerre,le havre,1,2,2025-05-04,Ligue 1
brest,montpellier,1,0,2025-05-04,Ligue 1
lyon,lens,1,2,2025-05-04,Ligue 1
lille,marseille,1,1,2025-05-04,Ligue 1
angers,strasbourg,2,1,2025-05-10,Ligue 1
auxerre,nantes,1,1,2025-05-10,Ligue 1
brest,lille,2,0,2025-05-10,Ligue 1
le havre,marseille,1,3,2025-05-10,Ligue 1
monaco,lyon,2,0,2025-05-10,Ligue 1
montpellier,psg,1,4,2025-05-10,Ligue 1
reims,st etienne,0,2,2025-05-10,Ligue 1
rennes,nice,2,0,2025-05-10,Ligue 1
toulouse,lens,1,1,2025-05-10,Ligue 1
lens,monaco,4,0,2025-05-17,Ligue 1
lille,reims,2,1,2025-05-17,Ligue 1
lyon,angers,2,0,2025-05-17,Ligue 1
marseille,rennes,4,2,2025-05-17,Ligue 1
nantes,montpellier,3,0,2025-05-17,Ligue 1
nice,brest,6,0,2025-05-17,Ligue 1
psg,auxerre,3,1,2025-05-17,Ligue 1
st etienne,toulouse,2,3,2025-05-17,Ligue 1
strasbourg,le havre,2,3,2025-05-17,Ligue 1
nice,lille,1,1,2023-08-11,Ligue 1
marseille,reims,2,1,2023-08-12,Ligue 1
psg,lorient,0,0,2023-08-12,Ligue 1
brest,lens,3,2,2023-08-13,Ligue 1
clermont,monaco,2,4,2023-08-13,Ligue 1
montpellier,le havre,2,2,2023-08-13,Ligue 1
nantes,toulouse,1,2,2023-08-13,Ligue 1
rennes,metz,5,1,2023-08-13,Ligue 1
strasbourg,lyon,2,1,2023-08-13,Ligue 1
metz,marseille,2,2,2023-08-18,Ligue 1
lyon,montpellier,1,4,2023-08-19,Ligue 1
toulouse,psg,1,1,2023-08-19,Ligue 1
lille,nantes,2,0,2023-08-20,Ligue 1
le havre,brest,1,2,2023-08-20,Ligue 1
lorient,nice,1,1,2023-08-20,Ligue 1
reims,clermont,2,0,2023-08-20,Ligue 1
monaco,strasbourg,3,0,2023-08-20,Ligue 1
lens,rennes,1,1,2023-08-20,Ligue 1
nantes,monaco,3,3,2023-08-25,Ligue 1
marseille,brest,2,0,2023-08-26,Ligue 1
psg,lens,3,1,2023-08-26,Ligue 1
rennes,le havre,2,2,2023-08-27,Ligue 1
clermont,metz,0,1,2023-08-27,Ligue 1
montpellier,reims,1,3,2023-08-27,Ligue 1
strasbourg,toulouse,2,0,2023-08-27,Ligue 1
lorient,lille,4,1,2023-08-27,Ligue 1
nice,lyon,0,0,2023-08-27,Ligue 1
nantes,marseille,1,1,2023-09-01,Ligue 1
brest,rennes,0,0,2023-09-02,Ligue 1
monaco,lens,3,0,2023-09-02,Ligue 1
toulouse,clermont,2,2,2023-09-03,Ligue 1
le havre,lorient,3,0,2023-09-03,Ligue 1
lille,montpellier,1,0,2023-09-03,Ligue 1
metz,reims,2,2,2023-09-03,Ligue 1
nice,strasbourg,2,0,2023-09-03,Ligue 1
lyon,psg,1,4,2023-09-03,Ligue 1
psg,nice,2,3,2023-09-15,Ligue 1
rennes,lille,2,2,2023-09-16,Ligue 1
lens,metz,0,1,2023-09-16,Ligue 1
lorient,monaco,2,2,2023-09-17,Ligue 1
clermont,nantes,0,1,2023-09-17,Ligue 1
reims,brest,1,2,2023-09-17,Ligue 1
strasbourg,montpellier,2,2,2023-09-17,Ligue 1
marseille,toulouse,0,0,2023-09-17,Ligue 1
lyon,le havre,0,0,2023-09-17,Ligue 1
monaco,nice,0,1,2023-09-22,Ligue 1
nantes,lorient,5,3,2023-09-23,Ligue 1
brest,lyon,1,0,2023-09-23,Ligue 1
metz,strasbourg,0,1,2023-09-24,Ligue 1
le havre,clermont,2,1,2023-09-24,Ligue 1
lens,toulouse,2,1,2023-09-24,Ligue 1
montpellier,rennes,0,0,2023-09-24,Ligue 1
psg,marseille,4,0,2023-09-24,Ligue 1
lille,reims,1,2,2023-09-26,Ligue 1
strasbourg,lens,0,1,2023-09-29,Ligue 1
clermont,psg,0,0,2023-09-30,Ligue 1
monaco,marseille,3,2,2023-09-30,Ligue 1
reims,lyon,2,0,2023-10-01,Ligue 1
le havre,lille,0,2,2023-10-01,Ligue 1
nice,brest,0,0,2023-10-01,Ligue 1
toulouse,metz,3,0,2023-10-01,Ligue 1
lorient,montpellier,0,3,2023-10-01,Ligue 1
rennes,nantes,3,1,2023-10-01,Ligue 1
strasbourg,nantes,1,2,2023-10-06,Ligue 1
metz,nice,0,1,2023-10-07,Ligue 1
reims,monaco,1,3,2023-10-07,Ligue 1
marseille,le havre,3,0,2023-10-08,Ligue 1
brest,toulouse,1,1,2023-10-08,Ligue 1
lyon,lorient,3,3,2023-10-08,Ligue 1
lens,lille,1,1,2023-10-08,Ligue 1
rennes,psg,1,3,2023-10-08,Ligue 1
le havre,lens,0,0,2023-10-20,Ligue 1
psg,strasbourg,3,0,2023-10-21,Ligue 1
nice,marseille,1,0,2023-10-21,Ligue 1
lorient,rennes,2,1,2023-10-22,Ligue 1
lille,brest,1,0,2023-10-22,Ligue 1
nantes,montpellier,2,0,2023-10-22,Ligue 1
toulouse,reims,1,1,2023-10-22,Ligue 1
monaco,metz,2,1,2023-10-22,Ligue 1
lyon,clermont,1,2,2023-10-22,Ligue 1
clermont,nice,0,1,2023-10-27,Ligue 1
reims,lorient,1,0,2023-10-28,Ligue 1
lens,nantes,4,0,2023-10-28,Ligue 1
brest,psg,2,3,2023-10-29,Ligue 1
lille,monaco,2,0,2023-10-29,Ligue 1
metz,le havre,0,0,2023-10-29,Ligue 1
montpellier,toulouse,3,0,2023-10-29,Ligue 1
rennes,strasbourg,1,1,2023-10-29,Ligue 1
psg,montpellier,3,0,2023-11-03,Ligue 1
lorient,lens,0,0,2023-11-04,Ligue 1
marseille,lille,0,0,2023-11-04,Ligue 1
lyon,metz,1,1,2023-11-05,Ligue 1
nantes,reims,0,1,2023-11-05,Ligue 1
strasbourg,clermont,0,0,2023-11-05,Ligue 1
toulouse,le havre,1,2,2023-11-05,Ligue 1
monaco,brest,2,0,2023-11-05,Ligue 1
nice,rennes,2,0,2023-11-05,Ligue 1
montpellier,nice,0,0,2023-11-10,Ligue 1
reims,psg,0,3,2023-11-11,Ligue 1
le havre,monaco,0,0,2023-11-11,Ligue 1
clermont,lorient,1,0,2023-11-12,Ligue 1
lille,toulouse,1,1,2023-11-12,Ligue 1
metz,nantes,3,1,2023-11-12,Ligue 1
rennes,lyon,0,1,2023-11-12,Ligue 1
lens,marseille,1,0,2023-11-12,Ligue 1
psg,monaco,5,2,2023-11-24,Ligue 1
clermont,lens,0,3,2023-11-25,Ligue 1
strasbourg,marseille,1,1,2023-11-25,Ligue 1
nice,toulouse,1,0,2023-11-26,Ligue 1
lorient,metz,2,3,2023-11-26,Ligue 1
montpellier,brest,1,3,2023-11-26,Ligue 1
nantes,le havre,0,0,2023-11-26,Ligue 1
rennes,reims,3,1,2023-11-26,Ligue 1
lyon,lille,0,2,2023-11-26,Ligue 1
montpellier,clermont,1,1,2023-11-29,Ligue 1
reims,strasbourg,2,1,2023-12-01,Ligue 1
lens,lyon,3,2,2023-12-02,Ligue 1
nantes,nice,1,0,2023-12-02,Ligue 1
le havre,psg,0,2,2023-12-03,Ligue 1
brest,clermont,3,0,2023-12-03,Ligue 1
monaco,montpellier,2,0,2023-12-03,Ligue 1
toulouse,lorient,1,1,2023-12-03,Ligue 1
lille,metz,2,0,2023-12-03,Ligue 1
marseille,rennes,2,0,2023-12-03,Ligue 1
marseille,lyon,3,0,2023-12-06,Ligue 1
brest,strasbourg,1,1,2023-12-07,Ligue 1
montpellier,lens,0,0,2023-12-08,Ligue 1
rennes,monaco,1,2,2023-12-09,Ligue 1
psg,nantes,2,1,2023-12-09,Ligue 1
nice,reims,2,1,2023-12-10,Ligue 1
clermont,lille,0,0,2023-12-10,Ligue 1
metz,brest,0,1,2023-12-10,Ligue 1
strasbourg,le havre,2,1,2023-12-10,Ligue 1
lyon,toulouse,3,0,2023-12-10,Ligue 1
lorient,marseille,2,4,2023-12-10,Ligue 1
monaco,lyon,0,1,2023-12-15,Ligue 1
le havre,nice,3,1,2023-12-16,Ligue 1
lens,reims,2,0,2023-12-16,Ligue 1
nantes,brest,0,2,2023-12-17,Ligue 1
lorient,strasbourg,1,2,2023-12-17,Ligue 1
metz,montpellier,0,1,2023-12-17,Ligue 1
toulouse,rennes,0,0,2023-12-17,Ligue 1
marseille,clermont,2,1,2023-12-17,Ligue 1
lille,psg,1,1,2023-12-17,Ligue 1
brest,lorient,4,0,2023-12-20,Ligue 1
clermont,rennes,1,3,2023-12-20,Ligue 1
lyon,nantes,1,0,2023-12-20,Ligue 1
montpellier,marseille,1,1,2023-12-20,Ligue 1
nice,lens,2,0,2023-12-20,Ligue 1
psg,metz,3,1,2023-12-20,Ligue 1
reims,le havre,1,0,2023-12-20,Ligue 1
strasbourg,lille,2,1,2023-12-20,Ligue 1
toulouse,monaco,1,2,2023-12-20,Ligue 1
marseille,strasbourg,1,1,2024-01-12,Ligue 1
monaco,reims,1,3,2024-01-13,Ligue 1
rennes,nice,2,0,2024-01-13,Ligue 1
lille,lorient,3,0,2024-01-14,Ligue 1
brest,montpellier,2,0,2024-01-14,Ligue 1
metz,toulouse,0,1,2024-01-14,Ligue 1
nantes,clermont,1,2,2024-01-14,Ligue 1
le havre,lyon,3,1,2024-01-14,Ligue 1
lens,psg,0,2,2024-01-14,Ligue 1
lyon,rennes,2,3,2024-01-26,Ligue 1
nice,metz,1,0,2024-01-27,Ligue 1
marseille,monaco,2,2,2024-01-27,Ligue 1
montpellier,lille,0,0,2024-01-28,Ligue 1
clermont,strasbourg,1,1,2024-01-28,Ligue 1
lorient,le havre,3,3,2024-01-28,Ligue 1
reims,nantes,0,0,2024-01-28,Ligue 1
toulouse,lens,0,2,2024-01-28,Ligue 1
psg,brest,2,2,2024-01-28,Ligue 1
strasbourg,psg,1,2,2024-02-02,Ligue 1
rennes,montpellier,2,1,2024-02-03,Ligue 1
nantes,lens,0,1,2024-02-03,Ligue 1
monaco,le havre,1,1,2024-02-04,Ligue 1
lille,clermont,4,0,2024-02-04,Ligue 1
metz,lorient,1,2,2024-02-04,Ligue 1
reims,toulouse,2,3,2024-02-04,Ligue 1
brest,nice,0,0,2024-02-04,Ligue 1
lyon,marseille,1,0,2024-02-04,Ligue 1
marseille,metz,1,1,2024-02-09,Ligue 1
lens,strasbourg,3,1,2024-02-10,Ligue 1
psg,lille,3,1,2024-02-10,Ligue 1
le havre,rennes,0,1,2024-02-11,Ligue 1
clermont,brest,1,1,2024-02-11,Ligue 1
lorient,reims,2,0,2024-02-11,Ligue 1
toulouse,nantes,1,2,2024-02-11,Ligue 1
montpellier,lyon,1,2,2024-02-11,Ligue 1
nice,monaco,2,3,2024-02-11,Ligue 1
lyon,nice,1,0,2024-02-16,Ligue 1
lille,le havre,3,0,2024-02-17,Ligue 1
nantes,psg,0,2,2024-02-17,Ligue 1
strasbourg,lorient,1,3,2024-02-18,Ligue 1
monaco,toulouse,1,2,2024-02-18,Ligue 1
montpellier,metz,3,0,2024-02-18,Ligue 1
rennes,clermont,3,1,2024-02-18,Ligue 1
reims,lens,1,1,2024-02-18,Ligue 1
brest,marseille,1,0,2024-02-18,Ligue 1
metz,lyon,1,2,2024-02-23,Ligue 1
lorient,nantes,0,1,2024-02-24,Ligue 1
strasbourg,brest,0,3,2024-02-24,Ligue 1
lens,monaco,2,3,2024-02-25,Ligue 1
le havre,reims,1,2,2024-02-25,Ligue 1
nice,clermont,0,0,2024-02-25,Ligue 1
toulouse,lille,3,1,2024-02-25,Ligue 1
psg,rennes,1,1,2024-02-25,Ligue 1
marseille,montpellier,4,1,2024-02-25,Ligue 1
monaco,psg,0,0,2024-03-01,Ligue 1
reims,lille,0,1,2024-03-02,Ligue 1
clermont,marseille,1,5,2024-03-02,Ligue 1
toulouse,nice,2,1,2024-03-03,Ligue 1
brest,le havre,1,0,2024-03-03,Ligue 1
montpellier,strasbourg,2,2,2024-03-03,Ligue 1
nantes,metz,0,2,2024-03-03,Ligue 1
rennes,lorient,1,2,2024-03-03,Ligue 1
lyon,lens,0,3,2024-03-03,Ligue 1
nice,montpellier,1,2,2024-03-08,Ligue 1
lorient,lyon,0,2,2024-03-09,Ligue 1
lens,brest,1,0,2024-03-09,Ligue 1
psg,reims,2,2,2024-03-10,Ligue 1
le havre,toulouse,1,0,2024-03-10,Ligue 1
metz,clermont,1,0,2024-03-10,Ligue 1
strasbourg,monaco,0,1,2024-03-10,Ligue 1
lille,rennes,2,2,2024-03-10,Ligue 1
marseille,nantes,2,0,2024-03-10,Ligue 1
toulouse,lyon,2,3,2024-03-15,Ligue 1
nantes,strasbourg,1,3,2024-03-16,Ligue 1
lens,nice,1,3,2024-03-16,Ligue 1
brest,lille,1,1,2024-03-17,Ligue 1
clermont,le havre,2,1,2024-03-17,Ligue 1
monaco,lorient,2,2,2024-03-17,Ligue 1
reims,metz,2,1,2024-03-17,Ligue 1
rennes,marseille,2,0,2024-03-17,Ligue 1
